bin_left,bin_right,bin_center,count
-0.5,0.5,0.0,5544
0.5,1.5,1.0,1297
1.5,2.5,2.0,729
2.5,3.5,3.0,455
3.5,4.5,4.0,445
4.5,5.5,5.0,267
5.5,6.5,6.0,340
6.5,7.5,7.0,85
7.5,8.5,8.0,248
8.5,9.5,9.0,97
9.5,10.5,10.0,174
10.5,11.5,11.0,26
11.5,12.5,12.0,117
12.5,13.5,13.0,60
13.5,14.5,14.0,92
14.5,15.5,15.0,150
15.5,16.5,16.0,22
16.5,17.5,17.0,4
17.5,18.5,18.0,47
18.5,19.5,19.0,12
19.5,20.5,20.0,33
20.5,21.5,21.0,62
21.5,22.5,22.0,3
22.5,23.5,23.0,50
23.5,24.5,24.0,16
24.5,25.5,25.0,27
25.5,26.5,26.0,1
26.5,27.5,27.0,1
27.5,28.5,28.0,31
28.5,29.5,29.0,2
29.5,30.5,30.0,36
30.5,31.5,31.0,0
31.5,32.5,32.0,1
32.5,33.5,33.0,0
33.5,34.5,34.0,0
34.5,35.5,35.0,14
