feature,importance
smokeStat_Never,0.10808672126627117
GeneralHealth_Good,0.07868231237815254
GeneralHealth_VeryGood,0.07585512914752851
smokeStat_Former,0.07008933332370065
eCigUse_Former,0.05487329883161757
eCigUse_Never,0.050804562411343845
GeneralHealth_Excellent,0.03129080462828243
smokeStat_Current,0.0263309397009992
AverageTimeSitting,0.02427861413867921
Age,0.024134112021995557
WeeklyMinutesModerateExercise,0.019593008317191185
AvgDrinksPerWeek,0.018294464449955694
GeneralHealth_Fair,0.018070680828443875
FreqGoProvider,0.01787082156947295
BirthGender,0.012560070033472204
BMI,0.009088810286101034
eCigUse_Current,0.008287542666051473
PHQ4,0.005889421406866324
AverageSleepNight,0.004607031813934792
MedConditions_Diabetes,0.003321590198954505
GeneralHealth_Poor,0.0026685295452557045
EverHadCancer,0.0020253184883202158
MedConditions_Depression,0.0016266860072952638
MedConditions_LungDisease,0.00127388998944733
Deaf,0.001168572794020717
MedConditions_HighBP,0.001120265116888508
